"z_id","address","dateSold","price","beds","baths","house_area"
"zpid_89740022","5168 NW 21st Dr, Gainesville, FL",2017-03-17,170000,3,3,1347
"zpid_58879826","5155 SW 9th Ln, Gainesville, FL",2017-03-17,120000,2,2,1420
"zpid_42697547","12333 NW 7th Ln, Newberry, FL",2017-03-17,167500,3,2,1515
"zpid_42715263","2005 NW 24th St, Gainesville, FL",2017-03-17,8e+05,5,4,3219
"zpid_42704194","5350 NW 35th Dr, Gainesville, FL",2017-03-17,219000,3,3,1704
"zpid_54477993","3207 NW 25th Ter, Gainesville, FL",2017-03-17,125000,2,2,1279
"zpid_42707891","4332 NW 26th Ter, Gainesville, FL",2017-03-16,174000,3,3.5,1772
"zpid_42718463","9417 SW 19th Ave, Gainesville, FL",2017-03-16,209000,3,2,1680
"zpid_66694404","2636 SW 35th Pl UNIT 1, Gainesville, FL",2017-03-16,108500,2,3,1141
"zpid_42702667","4819 NW 77th Rd, Gainesville, FL",2017-03-16,140000,3,2,1380
